libxcb-render-util0:amd64	0.3.10-1+b2
libxcb-render0:amd64	1.17.0-2+b2
libxcb-res0:amd64	1.17.0-2+b2
libxcb-shape0:amd64	1.17.0-2+b2
libxcb-shm0:amd64	1.17.0-2+b2
libxcb-sync1:amd64	1.17.0-2+b2
libxcb-util1:amd64	0.4.1-1+b2
libxcb-xfixes0:amd64	1.17.0-2+b2
libxcb-xinput0:amd64	1.17.0-2+b2
libxcb-xkb1:amd64	1.17.0-2+b2
libxcb1:amd64	1.17.0-2+b2
libxcomposite1:amd64	1:0.4.6-1+b2
libxcursor1:amd64	1:1.2.3-1+b2
libxcvt0:amd64	0.1.3-1+b2
libxdamage1:amd64	1:1.1.7-1+b1
libxdgutilsbasedir1.0.1:amd64	1.0.1-3.2+b1
libxdgutilsdesktopentry1.0.1:amd64	1.0.1-3.2+b1
